HA mid,Dec,VIS band,PSF,Guide,VIS Centre,NIR Centre,VIS Min,VIS Max,VIS Throughput,NIR Min,NIR Max,NIR Throughput,Metric
3,-55,G,durham,0.7,0.51,1.04,0.6854787166556643,0.9864295678675308,0.8901182363293539,0.7841356005155323,0.9928428496788696,0.918194475570795,
4,-55,G,durham,0.72,0.51,1.04,0.5747578157076322,0.9758784434266902,0.8396832499091943,0.6856348457967103,0.9903901077067172,0.8621544826131321,
0,-50,G,durham,0.67,0.51,1.05,0.9024096212276448,0.9948139443811777,0.9691798706584588,0.9401538984803296,0.9955785866749054,0.9812199118830262,
1,-50,G,durham,0.7,0.51,1.04,0.879066869690093,0.9930184537624032,0.9612071626960118,0.929709122895766,0.9964437987655635,0.9778745106801808,
2,-50,G,durham,0.68,0.51,1.04,0.8168788122906181,0.992299443728454,0.9407255775122798,0.8849382916498791,0.9943884677870952,0.9615993581612295,
3,-50,G,durham,0.7,0.51,1.04,0.7153117908638386,0.9868999944154287,0.9013535453684024,0.8083109425033284,0.9929228417081208,0.9269579855099652,
4,-50,G,durham,0.72,0.51,1.04,0.580178638346075,0.9744509626018024,0.8416940520011782,0.6909941054395312,0.9900769349465012,0.8660885657698772,
0,-45,G,durham,0.71,0.5,1.05,0.942126680169282,0.99260650748914,0.9753273846929964,0.9625382382250796,0.9974989247207672,0.9891025389691076,
1,-45,G,durham,0.67,0.51,1.05,0.9127858396632214,0.994796818906762,0.9725724109047658,0.9488062904223904,0.9956090255055404,0.983112606959474,
2,-45,G,durham,0.69,0.51,1.04,0.8415747472311863,0.9920698477127952,0.9492267349229434,0.9056783331897642,0.995136817636823,0.969221305524715,
3,-45,G,durham,0.7,0.51,1.04,0.7348433591265898,0.98667643817207,0.9082684852951478,0.822991830134522,0.9929804223758608,0.932981853328311,
4,-45,G,durham,0.73,0.51,1.04,0.5875106827674437,0.9713491912378394,0.842914563951468,0.6977126328083392,0.9902944109427374,0.8685706195014902,
0,-40,G,durham,0.68,0.5,1.08,0.964688368917713,0.9943796943188992,0.9848716657371784,0.9763665816599952,0.9966525771197215,0.9921925505468424,
1,-40,G,durham,0.72,0.5,1.05,0.944844282712173,0.9919996330660242,0.9757864556240216,0.965615721447482,0.997473380666883,0.9892596587897502,
2,-40,G,durham,0.71,0.51,1.04,0.861627027078439,0.991218213691886,0.9552433455177616,0.9208199999685196,0.9962072497784804,0.9743983923979592,
3,-40,G,durham,0.7,0.51,1.04,0.7471702375754069,0.9865391015271132,0.912634075008522,0.8324638076740134,0.9929002343552374,0.9363644735340516,
4,-40,G,durham,0.73,0.51,1.04,0.5880860804380172,0.9687939203165906,0.8417543762289595,0.6976710696085118,0.9892675243813585,0.8669249567179618,
0,-35,G,durham,0.7,0.49,1.15,0.9791374359283748,0.9932825174342038,0.9887440856367,0.987462558703362,0.9973767149352658,0.995211256793533,
1,-35,G,durham,0.69,0.5,1.07,0.9587954009917103,0.9936237150059308,0.9824566668383404,0.9740020025316292,0.9968582757707984,0.9913804655687136,
2,-35,G,durham,0.68,0.51,1.05,0.8771303507957912,0.9929140842094076,0.9610027830261416,0.9268713252991424,0.9948309530671652,0.975982164469562,
3,-35,G,durham,0.7,0.51,1.04,0.7526855086261455,0.986145618107561,0.9144828683723072,0.837317343462916,0.9927679551599152,0.9373766036982816,
4,-35,G,durham,0.74,0.51,1.04,0.5805753050089306,0.9638782146378564,0.8361662416887838,0.692059239002081,0.989438349244098,0.8634770001415715,
0,-30,G,durham,0.72,0.49,1.33,0.9831083824853584,0.9947937101987362,0.9923153230015614,0.9950579401854278,0.9977812761281454,0.9968439870616458,
1,-30,G,durham,0.69,0.5,1.09,0.965610768885648,0.9938940731050532,0.9856188354857454,0.9793604940723964,0.9968577855123372,0.9928187395955056,
2,-30,G,durham,0.68,0.51,1.05,0.883257579475114,0.9929411158760364,0.9629431348607684,0.931268945399098,0.9948828956548454,0.9769563387156236,
3,-30,G,durham,0.7,0.51,1.04,0.7504857205033992,0.985433078857496,0.9135689244344104,0.8359953904567111,0.992411567933755,0.936237253798012,
4,-30,G,durham,0.75,0.51,1.04,0.5716005282194805,0.9577822378179393,0.828786562049099,0.6827405395927387,0.9894077632109544,0.8571171614868933,
0,-25,G,durham,0.72,0.52,1.1,0.9847377223351546,0.9985687145159596,0.9938387583243562,0.996325741767424,0.9998793526218254,0.9974449952813594,
1,-25,G,durham,0.69,0.5,1.1,0.9674287311458022,0.9939874180336348,0.9865356498103702,0.9809416934261632,0.996873167264925,0.9932083910041958,
2,-25,G,durham,0.68,0.51,1.05,0.8819057271962666,0.9927983065162602,0.9626271905276588,0.9306969349028676,0.9947228280936484,0.9765760150539252,
3,-25,G,durham,0.71,0.51,1.04,0.741812625607704,0.983545882270502,0.9095762409352944,0.8305956482121294,0.9927368246486536,0.9338199668095712,
4,-25,G,durham,0.75,0.51,1.04,0.560785417168223,0.9518417295540724,0.8205752769902129,0.6709765725983116,0.9880523079781084,0.8464430201515419,
0,-20,G,durham,0.72,0.49,1.38,0.9832444023336072,0.99555787113802,0.9927488734768648,0.9962799752341196,0.9979507224072556,0.9969787984718088,
1,-20,G,durham,0.69,0.5,1.09,0.9642328330027552,0.9938613895974658,0.9852306418636482,0.9787154055650898,0.9968348433690222,0.992575010593301,
2,-20,G,durham,0.68,0.51,1.05,0.8736425762700991,0.9925148308642866,0.959970859536938,0.9255854080020632,0.9945456186983266,0.9747726735239056,
3,-20,G,durham,0.71,0.51,1.04,0.7267707335144231,0.9824270657662992,0.9036896525852992,0.8199889756425497,0.992069616147298,0.927768272922386,
4,-20,G,durham,0.76,0.51,1.04,0.5422404433299565,0.9426119091223416,0.8073861524717842,0.6530734438134502,0.9876295196078008,0.8334250827414729,
0,-15,G,durham,0.7,0.49,1.18,0.9794524145160904,0.993594058428228,0.9896324495248674,0.98857650641657,0.9973767157134684,0.995395367131018,
1,-15,G,durham,0.7,0.5,1.07,0.9556955857861424,0.9931295546525524,0.9813282039512224,0.972849510734334,0.9970491967493712,0.99101856005466,
2,-15,G,durham,0.69,0.51,1.05,0.8570811690601022,0.9915620303498678,0.9544346845424624,0.9153972443697376,0.994671531882282,0.9721360755707346,
3,-15,G,durham,0.71,0.51,1.04,0.7035128205003941,0.9807258402224592,0.8946788131539585,0.803866914930252,0.9913404342588124,0.91904365081956,
4,-15,G,durham,0.77,0.51,1.04,0.5159496676734064,0.9307072509512084,0.7900707298515054,0.6237794690829312,0.9869574900003036,0.816194373427654,
0,-10,G,durham,0.69,0.5,1.09,0.9650632297397228,0.9941809668244094,0.985552610693626,0.9782103081208228,0.9970644457385636,0.9928886948798594,
1,-10,G,durham,0.73,0.5,1.05,0.9409664401938196,0.9913700481337848,0.9741842807831518,0.9634467000296084,0.997686040183398,0.9885020141436696,
2,-10,G,durham,0.72,0.51,1.04,0.8346867683542177,0.9891220149262248,0.9457822221645924,0.9037498176253996,0.9960042960619035,0.967407283580868,
3,-10,G,durham,0.72,0.51,1.04,0.6710851876143663,0.9772426338492014,0.8814822386396244,0.7802750530925906,0.9912910636498186,0.9082453568275802,
4,-10,G,durham,0.78,0.51,1.04,0.4844317941628989,0.9180671045173172,0.7707124241218247,0.5806694711774479,0.986310672077475,0.7944648245400141,
0,-5,G,durham,0.74,0.5,1.05,0.9440197451026592,0.9916508461130504,0.9757667037958886,0.9665498544794666,0.9981277133129388,0.990286722147677,
