HA mid,Dec,VIS band,PSF,Guide,VIS Centre,NIR Centre,VIS Min,VIS Max,VIS Throughput,NIR Min,NIR Max,NIR Throughput,Metric
4,-15,B,moffat,0.61,0.42,1.04,0.6679040550829483,0.912853022372382,0.8341004230125039,0.7047810889919093,0.9534255939350188,0.8425002547687989,
0,-10,B,moffat,0.63,0.41,1.12,0.9667776744410832,0.983482028077682,0.9778689533668464,0.979268137238081,0.993978198038411,0.9879857216016394,
1,-10,B,moffat,0.59,0.42,1.09,0.9447660639003508,0.987100011121897,0.9763854148952418,0.9616712060088672,0.99009529619334,0.9787236854140162,
2,-10,B,moffat,0.63,0.42,1.05,0.8841039771624908,0.97632418841481,0.9505067847324108,0.9204091377948816,0.9908385675022926,0.960986240948134,
3,-10,B,moffat,0.61,0.42,1.05,0.7868256727495433,0.9602657268660232,0.9074247863653624,0.8317725487112435,0.9788488909150872,0.9149871557649526,
4,-10,B,moffat,0.61,0.42,1.04,0.6473321690763247,0.899501575010501,0.8181205323774454,0.6828015055089304,0.9459175004545554,0.8277404758976119,
0,-5,B,moffat,0.6,0.42,1.09,0.9472027986896988,0.9872729123987471,0.977268313544475,0.9656466081696946,0.9917557276431468,0.9812099710375252,
1,-5,B,moffat,0.6,0.42,1.07,0.9285695625458784,0.9854321380567947,0.9703331178026414,0.9504183927261804,0.9907741392909016,0.9744478779725454,
2,-5,B,moffat,0.62,0.42,1.05,0.8675835549804108,0.975897522372257,0.9448259031545936,0.9047291249635576,0.9891425351249764,0.9533074524027642,
3,-5,B,moffat,0.61,0.42,1.05,0.765545702426437,0.9559555863287544,0.8972558785346099,0.8121117292090064,0.9764832256582748,0.9049094214752672,
4,-5,B,moffat,0.6,0.42,1.03,0.6247319350096143,0.8884901696023688,0.8026914840855158,0.6455800825618427,0.9313476195674556,0.8017971120152416,
0,0,B,moffat,0.59,0.42,1.07,0.9293728251108008,0.9872411992876076,0.971693011501696,0.9495665198912828,0.99056409893023,0.9737262181548514,
1,0,B,moffat,0.6,0.42,1.06,0.9087652723583852,0.9844081498703736,0.9634387570641992,0.9342073656371064,0.9903021902406196,0.9673321181931462,
2,0,B,moffat,0.61,0.42,1.05,0.8464710333616255,0.975239751641094,0.9373685938909234,0.8847134819000689,0.9869574875275876,0.943407132155246,
3,0,B,moffat,0.62,0.42,1.05,0.7388151535928943,0.9477672394756024,0.882626294659459,0.7902209992073699,0.9759200487078556,0.8947772312638743,
4,0,B,moffat,0.6,0.42,1.03,0.5986871015418561,0.8674192521932371,0.7797920854936752,0.6176099074328191,0.9175342156127424,0.7804262740768017,
0,5,B,moffat,0.59,0.42,1.06,0.9054082608033334,0.9863269132184048,0.963474435949794,0.9294738744426292,0.9900028075572176,0.9651898062633631,
1,5,B,moffat,0.62,0.42,1.05,0.8815879178933217,0.9811934917975788,0.9527061945475592,0.915653563211066,0.9915668414493416,0.9598568342526173,
2,5,B,moffat,0.6,0.42,1.05,0.8204856085069469,0.974299735363292,0.9279443928007518,0.8600580312531795,0.9841077450371988,0.9309152793363008,
3,5,B,moffat,0.61,0.42,1.05,0.7103212338133539,0.9433148768777706,0.8693904051562447,0.7596466223369407,0.9694717735879212,0.8772699622879303,
4,5,B,moffat,0.59,0.42,1.02,0.5708123356591679,0.8480680855855786,0.757159715510579,0.5754772429562068,0.8917294670259349,0.7454504003914676,
0,10,B,moffat,0.61,0.42,1.05,0.873559371932155,0.983255562785282,0.9512909367529728,0.9070391318573874,0.9912578505272984,0.956012806550632,
1,10,B,moffat,0.61,0.42,1.05,0.85226892821282,0.9805741999578664,0.9426037444350692,0.8884760375440596,0.9898029167607912,0.9476981241583472,
2,10,B,moffat,0.6,0.42,1.05,0.7879735656696031,0.9712660152091313,0.9148111100222388,0.8309540741630166,0.9821845964657436,0.917318736595645,
3,10,B,moffat,0.62,0.42,1.04,0.6752676959235405,0.9304581291796982,0.8483979663040645,0.7183957474503904,0.9682726804151042,0.8579366856754542,
4,10,B,moffat,0.65,0.43,1.02,0.4350296155417034,0.7876180844019299,0.6953145001545257,0.5419358066286654,0.9215059470130916,0.7438205891439069,
0,15,B,moffat,0.6,0.42,1.05,0.8390740217948462,0.9826877079761106,0.9394225314974434,0.8751713937306598,0.9893777271582384,0.9417714825420644,
1,15,B,moffat,0.6,0.42,1.05,0.8170929048346558,0.979725933514039,0.9301424860156312,0.855820231289618,0.9875027322629444,0.932486704712236,
2,15,B,moffat,0.6,0.42,1.05,0.7499311935955519,0.9673122038803076,0.8988463898923097,0.7965989708765212,0.9796717694070776,0.9006617498982529,
3,15,B,moffat,0.62,0.42,1.04,0.6373171740104477,0.9172846287309044,0.8257939270251999,0.6791215799734455,0.9619008961293556,0.835876847946818,
4,15,B,moffat,0.63,0.43,1.01,0.4040008676322023,0.7532169488623619,0.6628484932353889,0.4950749242510282,0.8793544853974375,0.6971472611753616,
0,20,B,moffat,0.6,0.42,1.05,0.7968386103995154,0.9807546795219392,0.9237966422356227,0.8377499463967563,0.9881576099906848,0.9254473300353916,
1,20,B,moffat,0.6,0.42,1.05,0.7742757391513537,0.9772148752773588,0.9137066353186898,0.8176932402914413,0.9859151972828856,0.9152401009008144,
2,20,B,moffat,0.61,0.42,1.05,0.7048580226736714,0.9598353557107936,0.8777888868095312,0.7570120950609598,0.978531035464184,0.8825522044965298,
3,20,B,moffat,0.61,0.42,1.04,0.5962869903219803,0.9039942910281388,0.8015513973045197,0.6335179304612224,0.9481868236775431,0.8063197222499657,
4,20,B,moffat,0.63,0.43,1.0,0.3789152209266226,0.6856239415376646,0.6099995779042084,0.4475302258517703,0.8404995142966891,0.6520573155870735,
0,-80,G,moffat,0.68,0.51,1.05,0.6103592367336992,0.9911263167032544,0.8613458347244431,0.7343815497396745,0.992903040119103,0.8885927826849956,
1,-80,G,moffat,0.68,0.51,1.05,0.6048605561868884,0.9909695769113152,0.8589647889305427,0.7296571265042553,0.9927755308357952,0.8867712044467976,
2,-80,G,moffat,0.69,0.51,1.05,0.5881894746836526,0.9897940012902156,0.8512979551247665,0.7168383129801795,0.9931300890203768,0.8816646653320348,
3,-80,G,moffat,0.69,0.51,1.05,0.5623435930939347,0.988914045625152,0.8396014412663249,0.6958752517499662,0.992537791401664,0.8718279263613238,
4,-80,G,moffat,0.69,0.51,1.05,0.5285051050708908,0.9876397375100608,0.823661097236713,0.6678921802514435,0.9916828658343136,0.8581579345454927,
0,-75,G,moffat,0.71,0.51,1.04,0.6785846216088774,0.990610095703995,0.8883825776306432,0.7958378921704746,0.9956253802643308,0.9108690469998336,
1,-75,G,moffat,0.71,0.51,1.04,0.6706393543163237,0.9903548150104784,0.8851663333248123,0.7896667217758244,0.9955050440546142,0.9083593375596428,
2,-75,G,moffat,0.73,0.51,1.04,0.6462753943548913,0.9883547177345006,0.8744965375014033,0.7725292153711323,0.9960708911070378,0.9013611062282018,
3,-75,G,moffat,0.69,0.51,1.05,0.6104963002370444,0.9895166633426146,0.8604758022822744,0.7337738300186706,0.992935395369787,0.889501283448675,
4,-75,G,moffat,0.7,0.51,1.05,0.5604749872501413,0.9866693066367072,0.8374800111313928,0.6943192247408887,0.9924088222054938,0.8712172168092545,
0,-70,G,moffat,0.68,0.51,1.04,0.7426886098621921,0.9931841282177324,0.913633109836504,0.8390862690353322,0.9947253566781528,0.9293345844383752,
1,-70,G,moffat,0.68,0.51,1.04,0.7325402851265869,0.9929351782026788,0.9098115845372666,0.8316206385997515,0.9945129618181276,0.9262955604625632,
2,-70,G,moffat,0.69,0.51,1.04,0.7019470964560158,0.9915583977910922,0.8977376169953359,0.8104748489283298,0.9944877145885832,0.9172209932218328,
3,-70,G,moffat,0.72,0.51,1.04,0.6519319489752502,0.9879141051004864,0.8764360981327157,0.7757102807926886,0.9952085764722736,0.9022975355839308,
4,-70,G,moffat,0.7,0.51,1.05,0.5884190452276697,0.9862874888057586,0.8493266186174611,0.7164174607417317,0.9921859351511428,0.8810923701933281,
0,-65,G,moffat,0.68,0.51,1.04,0.7977378820931692,0.9938879289840148,0.9334146439831172,0.8763279351968717,0.9952796878374638,0.945816599537999,
1,-65,G,moffat,0.68,0.51,1.04,0.7856812498404424,0.9936073467740012,0.9291018266136442,0.867807690876914,0.9950464483110772,0.9424182584185136,
2,-65,G,moffat,0.68,0.51,1.04,0.7497490227441795,0.9926896907072424,0.9159161611955576,0.8431622013219295,0.9943245200183732,0.931457265278911,
3,-65,G,moffat,0.7,0.51,1.04,0.6901142670380072,0.9895467804865092,0.8921393687855484,0.8023133386872872,0.9942351225505034,0.9134780448985652,
4,-65,G,moffat,0.74,0.51,1.04,0.6102775224712058,0.9823058382105662,0.8562961066451933,0.7447313766438666,0.9948733932776958,0.8873741348928471,
0,-60,G,moffat,0.68,0.51,1.04,0.8451591838561977,0.9944683481201152,0.9497027286333228,0.907600077788712,0.9957152263484924,0.9591069645065756,
1,-60,G,moffat,0.68,0.51,1.04,0.8314808263261784,0.9941660962547504,0.9450072772692728,0.8982201858198268,0.9954659891147764,0.9554465708586908,
2,-60,G,moffat,0.68,0.51,1.04,0.7904500079439876,0.9931562152551878,0.9305270233718432,0.8708192033732404,0.9946731969474366,0.9435489012977644,
3,-60,G,moffat,0.69,0.51,1.04,0.7222480450324762,0.9904115541722016,0.9046466340792364,0.8245680297783935,0.993724168095122,0.9227871112299812,
